store;latitude;longitude
12;51,206599;-1,596419
13;51,118627;-2,967112
14;52,191839;-1,415261
15;51,356004;0,67046
16;51,022622;0,912628
31;50,884434;-0,959582
32;53,183743;-2,091991
38;51,112151;0,31907
40;51,232125;0,11081
41;52,063213;-1,099684
42;51,055245;0,495534
43;50,968761;-2,760756
44;50,549019;-1,328487
45;50,353544;-3,299075
47;50,768765;-2,847753
48;55,413306;-3,913929
49;52,850233;-2,336655
50;51,977659;-0,53735
52;50,983554;0,900234
53;54,165925;-1,150489
54;53,313135;-1,373849
56;51,370868;0,160315
58;50,882656;-0,958806
59;51,06697;0,396495
60;51,116876;-2,343189
61;51,332663;-0,139893
62;51,289984;0,142145
63;51,158155;-0,199154
64;53,39458;-1,071157
65;52,12788;-1,558601
66;53,078131;-2,517284
67;55,326502;-4,03781
68;51,827601;-0,815509
69;51,102386;0,176624
70;52,181474;-1,387323
72;51,160641;-2,513764
73;54,177222;-5,836413
74;51,133677;0,317792
75;51,232453;-1,106539
76;53,112844;-0,980139
77;52,1436;-1,267594
78;55,491191;-3,447768
79;52,198678;-0,051973
80;50,935452;0,586818
81;50,552593;-1,335355
82;52,954762;-2,609481
83;52,1436;-1,267594
91;52,007434;-1,405039
